--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
V/AlarmManager(  584): sending alarm PendingIntent{426b3a08: PendingIntentRecord{42c33380 com.google.android.gms broadcastIntent}}, intent=com.google.android.intent.action.MCS_HEARTBEAT, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5891794, repeateInterval=0
D/PowerManagerService(  584): acquireWakeLock(43160990): PARTIAL_WAKE_LOCK , tag=GCM_HB_ALARM, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(43160990): PARTIAL_WAKE_LOCK , tag=GCM_HB_ALARM, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(432cdb48): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(432e8a80): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(432e8a80): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1
D/GCM     ( 1061): Message class com.google.f.a.a.i
D/PowerManagerService(  584): acquireWakeLock(42c5bec8): PARTIAL_WAKE_LOCK , tag=GCM_CONN, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/ConnectivityService(  584): reportInetCondition for net 1, percentage: 100 by 1061/10017
D/ConnectivityService(  584): handleInetConditionChange: net=1, condition=100,mActiveDefaultNetwork=1
D/ConnectivityService(  584): handleInetConditionChange: starting a change hold
D/PowerManagerService(  584): releaseWakeLock(42c5bec8): PARTIAL_WAKE_LOCK , tag=GCM_CONN, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4314a2a8): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1, pid=1061, uid=10017, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(4314a2a8): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1
D/ConnectivityService(  584): handleInetConditionHoldEnd: net=1, condition=100, published condition=100
D/ConnectivityService(  584): sendStickyBroadcast: action=android.net.conn.INET_CONDITION_ACTION
D/WIFI_ICON(  840): updateConnectivity: type=1 connected=true
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  EDGE CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=EDGE HtcModemLinkOn=false HspaDataDistinquishable=true]
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_3 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/StateMachine(  584): handleMessage: E msg.what=131218
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131218 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131218 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131218 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131218 when=-8ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131218
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131218 when=-14ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131218 when=-14ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131218 when=-14ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131218 when=-15ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131218
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131218 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131218 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: ConnectModeState
D/WifiStateMachine(  584): ConnectModeState{ what=131218 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): processMsg: DriverStartedState
D/WifiStateMachine(  584): DriverStartedState{ what=131218 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} }
D/StateMachine(  584): handleMessage: X
D/KInfoc  ( 2791): clear batch timer
D/KInfoc  ( 2791): set batch timer
D/KInfoc  ( 2791):  BATCH REPORTER STARTED ........
D/KInfoc  ( 2791):  -> ICH DIR : /data/data/com.rhmsoft.fm/files/infoc_1
W/KInfoc  ( 2791): The data section count is not equal! table:fm_public, count in format:13, count in data:14.
D/KInfoc  ( 2791):  * ENCODED HEADER : 87 LIMIT=3072
D/KInfoc  ( 2791):  [ BATCH REPORT ]
D/KInfoc  ( 2791): com.cm.kinfoc.l@425a51e8
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): [SMD]bl_level = 30
D/libc    (  249): [SMD][Mode1]: Screen on and original TTL is expired
D/libc    (  249):  Cache EXPIRED (STALE ENTRY 0x41f18a08 DISCARDED) or need renew
D/libc    (  249): [SMD][v0913] Extended TTL = 43200, original TTL = 38
D/KInfoc  ( 2791):     * SUCCESS
D/KInfoc  ( 2791):  * REPORT SUCCESS : DC+H=2 DC=1 SIZE=130
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/KInfoc  ( 2791):  -> ICH DIR : /data/data/com.rhmsoft.fm/files/infoc_2
W/KInfoc  ( 2791): The data section count is not equal! table:fm_public, count in format:13, count in data:14.
D/KInfoc  ( 2791):  * ENCODED HEADER : 87 LIMIT=3072
D/KInfoc  ( 2791):  [ BATCH REPORT ]
D/KInfoc  ( 2791): com.cm.kinfoc.l@425b8f10
D/libc    (  249): _resolv_cache_lookup: lookup
D/libc    (  249): [SMD]bl_level = 30
D/libc    (  249): [SMD][Mode1]: Screen on and original TTL is not expired
D/libc    (  249): FOUND IN CACHE entry=0x41f1b158
I/global  ( 2791): call createSocket() return a new socket.
D/KInfoc  ( 2791):     * SUCCESS
D/KInfoc  ( 2791):  * REPORT SUCCESS : DC+H=2 DC=1 SIZE=130
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -41
D/StateMachine(  584): handleMessage: X
D/TELEPHONY_CALLBACK(  840): @onSignalStrengthChanged: SignalStrength: 12 -1 -1 -1 -1 -1 -1 -1 -1 -1 2147483647 -1 gsm|lte
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  EDGE CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=EDGE HtcModemLinkOn=false HspaDataDistinquishable=true]
D/SIGNAL_ICON(  840): updateTelephonySignalStrength
D/SIGNAL_ICON(  840): fakeui srv=0 mTimerEnabled=false asu=12
D/SIGNAL_ICON(  840): asu=12
D/SIGNAL_ICON(  840): SUPPORT_5_LEVEL_SIGNAL
D/SIGNAL_ICON(  840): mapTelephonySignalStrength
D/SIGNAL_ICON(  840): maxLevel=5 asu=12 networkType=EDGE
D/SIGNAL_ICON(  840): return iconLevel=4
D/SIGNAL_ICON(  840): refreshViews: mPhoneSignalIconId -> stat_sys_5signal_4
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_4 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-1ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-2ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -43
D/StateMachine(  584): handleMessage: X
D/PowerManagerService(  584): ALG=2, lsvalue=10(0th)->40(1th), last_level=1, lValue=64->64, bValue=255, kValue=0, mPowerState=0x3, mSkippedScreenOn=false, mInitialAnimation=false, immediate=false
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -45
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -45
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-3ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -44
D/StateMachine(  584): handleMessage: X
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-4ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-5ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/WifiStateMachine(  584): fetchRssiAndLinkSpeedNative RSSI = -42
D/StateMachine(  584): handleMessage: X
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(4336d990): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/PowerManagerService(  584): releaseWakeLock(4336d990): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(42f5ded8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x3
D/HtcPowerSaver(  584): Received battery changed intent.
D/UsbnetService(  584): BroadcastReceiver::onReceive+
D/UsbnetService(  584): onReceive BATTERY_CHANGED
D/UsbnetService(  584):  --> pluggedType = 2, mPluggedType = 0, mScreenOff = false
D/UsbnetService(  584): BroadcastReceiver::onReceive-
D/HtcPowerSaver(  584): Checking...
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
I/HtcPowerSaver(  584): >> updateStatus
I/HtcPowerSaver(  584): currentStatus=8002, currentLevel=50, enableLevel=-1, enable=true, mAutoModeOn=false, popDialog=false, statusChangeTo=-1
I/HtcPowerSaver(  584): << updateStatus
D/PowerUI (  840): closing low battery warning: level=50
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 50, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/PowerManagerService(  584): releaseWakeLock(42f5ded8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/SizeAdaptiveLayout(  840): com.android.internal.widget.SizeAdaptiveLayout@42560050child view android.widget.LinearLayout@42562450 measured out of bounds at 95px clamped to 96px
I/ActivityManager(  584): Recipient 12926
I/ActivityManager(  584): Process com.google.android.apps.plus (pid 12926) has died.
D/StateMachine(  584): handleMessage: E msg.what=131155
D/StateMachine(  584): processMsg: ConnectedState
D/WifiStateMachine(  584): ConnectedState{ what=131155 when=-6ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
D/StateMachine(  584): processMsg: L2ConnectedState
D/WifiStateMachine(  584): L2ConnectedState{ what=131155 when=-9ms target=Handler (com.android.internal.util.StateMachine$SmHandler) {42cae278} arg1=15 }
